id,name,brand,cpu,cpu_brand,ram,scrsize,gpu,gpu_brand,memory,drive_type,opersystem,weight,shop,price,url
632,HP Elitebook 630 G9,HP,Core i5,Intel,8,13.3,Intel Iris Xe,Intel,256,SSD,Windows 11,1.3,Phongvu,19690000,https://phongvu.vn/laptop-hp-elitebook-630-g9-6m142pa--s220800851?sku=220800851
633,HP Probook 450 G9,HP,Core i7,Intel,8,15.6,Intel Iris Xe,Intel,512,SSD,Windows 11,1.7,Phongvu,24090000,https://phongvu.vn/laptop-hp-probook-450-g9-6m0z8pa--s220800856?sku=220800856
634,Asus ZenBook UM5302TA-LX087W,ASUS,AMD Ryzen 5,AMD,8,13.3,Radeon Vega,AMD,512,SSD,Windows 11,1.1,Phongvu,24590000,https://phongvu.vn/asus-zenbook-um5302ta-lx087w--s220801589?sku=220801589
635,Lenovo Ideapad 5 Pro - 14IAP7 - 82SH002UVN,LENOVO,Core i7,Intel,16,14.0,Intel Iris Xe,Intel,512,SSD,Windows 11,1.4,Phongvu,27090000,https://phongvu.vn/laptop-lenovo-ideapad-5-pro-14iap7-82sh002uvn--s220801879?sku=220801879
636,Lenovo Legion 5 - 15ARH7 -82RE002VVN,LENOVO,AMD Ryzen 5,AMD,8,15.6,GeForce RTX3050 (4GB),Nvidia,512,SSD,Windows 11,2.3,Phongvu,28690000,https://phongvu.vn/laptop-lenovo-legion-5-15arh7-82re002vvn--s220801891?sku=220801891
637,Lenovo Legion 5 15IAH7-82RC008LVN,LENOVO,Core i5,Intel,8,15.6,GeForce RTX3050 (4GB),Nvidia,512,SSD,Windows 11,2.3,Phongvu,29590000,https://phongvu.vn/laptop-lenovo-legion-5-15iah7-82rc008lvn--s220902854?sku=220902854
638,HP Envy X360 13-bf0095TU,HP,Core i5,Intel,16,13.3,Intel Iris Xe,Intel,512,SSD,Windows 11,1.3,Phongvu,27790000,https://phongvu.vn/laptop-hp-envy-x360-13-bf0095tu--s221000200?sku=221000200
639,HP 240 G9,HP,Core i5,Intel,8,14.0,Intel Iris Xe,Intel,512,SSD,Windows 11,1.4,Phongvu,17490000,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-240-g9-6l1y2pa-i5-1235u-bac--s221100543?sku=221100543
640,HP Victus 15-fa0115TX,HP,Core i5,Intel,8,15.6,GeForce RTX3050 (4GB),Nvidia,512,SSD,Windows 11,2.4,Phongvu,25390000,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-victus-15-fa0115tx-7c0x1pa-i5-12500h-den--s221101328?sku=221101328
641,HP 15s-fq5144TU,HP,Core i7,Intel,8,15.6,Intel Iris Xe,Intel,512,SSD,Windows 11,1.7,Phongvu,20890000,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-15s-fq5144tu-core-i7-1255u--s221101765?sku=221101765
