id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
173211404,7514928433043,"1.Thông tin sản phẩm:- Tên sản phẩm: Ghế xoay, Ghế xoay văn phòng làm việc- Mã sản phẩm: E4928 / E4929 / E4925 / E4926G2. Thông tin chi tiết- Trọng lượng: 7.6kg - 9.1kg- Chất liệu: Chân và khung ...",649000,1348200,,699200,52,400,,available,,1000,1000,,46703,Deli
118966833,4311364114187,"Móc dán tường treo cây lau nhà siêu chịu lực Parroti Keeper KP02 là sản phẩm tiện ích giúp cho không gian nhà bạn gọn gàng và ngăn nắp hơn, miếng dán chắc chắn và dính trên mọi loại bề mặt sàn như s...",23900,42000,,18100,43,321,,available,,1000,1000,,746615,Parroti
83412126,2186358773080,Bình Giữ Nhiệt Lock&Lock Energetic One-Touch Tumbler LHC3249 - 550ML với thiết kế nắp mở một chạm dễ dàng: Đẩy sang trái để mở khóa đồng thời mở nắp.Miệng cốc rộng: Dễ dàng thêm đá viên và chùi ...,264000,528000,,264000,50,3029,,available,,1000,1000,,48077,Lock&Lock
73124602,7494611465205,Bình Giữ Nhiệt Thép Không Gỉ Vacuum Bottle Lock&Lock LHC6180FU (800ml) thiết kế xách tay dễ dàng cho việc mang theo. Màu sắc nổi bật mang đển cảm giác trẻ trung khi sử dụng.Bình giữ nhiệt mang tí...,339000,677000,,338000,50,6453,,available,,1000,1000,,48077,Lock&Lock
99868980,5466758134944,"   Bình Giữ Nhiệt Locknlock Bucket Tumbler LHC4269 có tay cầm chắc chắn thuận tiện mang đi.Nắp và lưới lọc có thể tháo rời, dễ dàng vệ sinh.Miệng bình rộng đủ để vệ sinh bên trong và thêm đá v...",237000,473000,,236000,50,1867,,available,,1000,1000,,48077,Lock&Lock
57867023,3339191897104,"Cây lau nhà xoay 360 độ SUNHOUSE KS-MO350I có cán làm bằng inox 201 với tay cầm bằng nhựa PP cao cấp, chắc chắn, không bị han gỉ và có thể tháo lắp dễ dàng khi sử dụng. Cây lau có thể điều chỉnh độ dà...",139000,200000,,61000,31,497,,available,,1000,1000,,41048,Sunhouse
1657931,2083613875744,"Vợt Muỗi Sunhouse SHE-E250 có kiểu dáng gọn nhẹ với thiết kế lưới điện an toàn, được làm bằng 2 lớp lưới nhôm (bên ngoài) và 1 lớp lưới sắt (bên trong), giúp tiêu diệt muỗi nhanh chóng.Sản phẩm có kh...",74000,119000,,45000,38,1152,,available,,1000,1000,,41048,Sunhouse
141298295,3652757637055,       Đây là gói hạt trồng thử - ko có bao bì   * THÔNG TIN SẢN PHẨM   - Số hạt/gói hoặc trọng lượng: 5H;   - Tỷ lệ nảy mầm: >80%;   - Mùa Vụ:quanh năm;   - Nhiệt độ gieo: 15 - 30 độ;   ...,2000,2000,,0,0,0,,available,,1000,1000,,111461,OEM
57867023,3339191897104,"Cây lau nhà xoay 360 độ SUNHOUSE KS-MO350I có cán làm bằng inox 201 với tay cầm bằng nhựa PP cao cấp, chắc chắn, không bị han gỉ và có thể tháo lắp dễ dàng khi sử dụng. Cây lau có thể điều chỉnh độ dà...",139000,200000,,61000,31,497,,available,,1000,1000,,41048,Sunhouse
71890908,5955369732589,Bộ lau nhà là vật dụng cần thiết cho mỗi gia đình. Sản phẩm Bộ lau nhà xoay 360 độ SUNHOUSE KS-CL330S bao gồm một thùng giặt có chứa lồng vắt và 1 cây lau. Với điểm nhấn là bộ tạo chuyển động 360 độ ...,277000,412000,,135000,33,321,,available,,1000,1000,,41048,Sunhouse
144448303,9599992860561,Chất liệu: Đồng thau mạ vàng. Kích thước: 13cm.Trọng lượng: 0.4kg.Thời gian bảo hành: vĩnh viễn trọn đời.Xuất xứ: Sản xuất tại công ty CPQT Trung Dũng. SẢN PHẨM DÀNH RIÊNG CHO NGƯỜI CÔNG GIÁO...,640000,640000,,0,0,0,,available,,1000,1000,,111461,OEM
53789448,6888275518789,   BẠN MUỐN MUA THÊM SẢN PHẨM KHÁC CỦA PARROTI Bộ lau nhà ProMax - Size LớnThùng rác Parroti BinCọ bồn cầu Parroti Silicon Bộ cây lau nhà thông minh tự vắt Parroti ...,439000,799000,,360000,45,3499,,available,,1000,1000,,746615,Parroti
99621372,4566919726066,"Bình giữ nhiệt Lock&Lock Belt Bottle LHC4267 490ml với quai xách kiểu dáng dây đai giúp dễ dàng mang đi.Tay cầm TPE ngăn nắp rơi ra và mất, dây đai cố định nắp trong khi uống.Nắp được giữ cố ...",237000,473000,,236000,50,1054,,available,,1000,1000,,48077,Lock&Lock
53583472,4451468802389,"Bộ Hộp Cơm Giữ Nhiệt Lock&Lock Easy Carry 2L LHC8039 Có Túi (1 Hộp 720ml, 2 Hộp 420ml Kèm 1 Bộ Muỗng Và Nĩa) được làm bằng chất liệu thép không gỉ cao cấp, không những bền chắc mà còn mang lại hiệ...",834000,1667000,,833000,50,2354,,available,,1000,1000,,48077,Lock&Lock
58804363,7785294673323,"Lực băm nghiền mạnh nhờ hoạt động bằng phương pháp xoay và ba lưỡi dao bằng thép không gỉ.Nếu bạn kéo thanh kéo nhiều lần, ba lưỡi dao sẽ quay nhanh và băm đều rau củ.Lưỡi dao bằng thép không gỉ kh...",98100,193000,,94900,49,2634,,available,,1000,1000,,48077,Lock&Lock
53789448,6888275518789,   BẠN MUỐN MUA THÊM SẢN PHẨM KHÁC CỦA PARROTI Bộ lau nhà ProMax - Size LớnThùng rác Parroti BinCọ bồn cầu Parroti Silicon Bộ cây lau nhà thông minh tự vắt Parroti ...,439000,799000,,360000,45,3499,,available,,1000,1000,,746615,Parroti
92521124,7804360500613,"Ủng Bọc Giày Đi Mưa Chống Nước Có Đế Chống Trơn Trượt Cao CấpNhững cơn mưa bất chợt không báo trước luôn là nỗi lo đối với mỗi người khi mà áo mưa không thể che hết được toàn cơ thể, vẫn còn đôi chân...",42000,84000,,42000,50,212,,available,,1000,1000,,111461,OEM
126725438,8006443189097,"Chất liệu: vải cách nhiệt (1 mặt mút xốp, 1 mặt tráng bạc) - viền vải không dệtÊm ái - gọn nhẹ, dễ dàng mang theo khi đi dã ngoại, văn phòng xếp gọn và vệ sinh dễ dàngCho giấc ngủ trưa ngon, không n...",41000,41000,,0,0,291,,available,,1000,1000,,5187537,GINGOOD
141298301,3461618569285,Sản phẩm được đóng trong túi zipper trong suốt và niêm phong kín.Đơn vị tính: GóiĐịnh lượng/gói: 2 hạtXuất xứ: Việt Nam - RADO seedsTỉ lệ nảy mầm: 89%--------------------------Thời vụ trồng dưa ...,2000,2000,,0,0,6,,available,,1000,1000,,111461,OEM
186627908,4742192840663,"Ghế Gác Chân Công Thái Học, Ghế Kê Chân Văn Phòng Ergonomic Footrest Đầy Đủ Phiên Bản Ghế gác chân công thái học được nghiên cứu và thiết kế khoa học giúp nâng đỡ chân thoải mái khi làm việc, học hàn...",199000,199000,,0,0,94,,available,,1000,1000,,111461,OEM
71890908,5955369732589,Bộ lau nhà là vật dụng cần thiết cho mỗi gia đình. Sản phẩm Bộ lau nhà xoay 360 độ SUNHOUSE KS-CL330S bao gồm một thùng giặt có chứa lồng vắt và 1 cây lau. Với điểm nhấn là bộ tạo chuyển động 360 độ ...,277000,412000,,135000,33,321,,available,,1000,1000,,41048,Sunhouse
11488920,6235877269401, ...,355000,715000,,360000,50,5821,,available,,1000,1000,,48077,Lock&Lock
94778000,9100607091971,"Ô dù được sản xuất trên công nghệ Nhật BảnĐộ mở rộng tới 120cm với 10 nan ô nan ô dày, thép dẻo chịu lực tốt hạn chế gập gẫy sản phẩmKhung, cán chắc chắn, bền đẹp không gỉNút bấm đóng mở tự động thời ...",196000,196000,,0,0,173,,available,,1000,1000,,837855,XUDI
